id,query,ground_truth_answerable,engine_answerable,band,separation,separation_floor,coverage,doc_coverage,n_results,top5_doc_ids,abstained_correctly,prior_engine_answerable,prior_band,prior_separation
u001,What are the names of all four Calder Group regions?,False,True,grounded,0.3095,0.1,1.0,0.8622,5,docs/adr-0007-helix-mesh.md|docs/guide-oncall-rota.md|docs/adr-0019-calder-gateway.md|docs/guide-onboarding.md|docs/postmortem-checkout-outage.md,False,True,grounded,0.4755
u002,What criteria distinguish a SEV1 incident from a SEV2 at Calder Group?,False,True,partial,0.6187,0.1,0.416,0.416,5,docs/guide-oncall-rota.md|docs/postmortem-checkout-outage.md|docs/reference-deployment-tiers.md|docs/adr-0019-calder-gateway.md|docs/guide-onboarding.md,False,True,partial,0.6833
u003,What is the monthly availability SLO target for the checkout service?,False,True,partial,0.8251,0.1,0.1985,0.1762,5,docs/policy-data-retention.md|docs/postmortem-checkout-outage.md|docs/reference-deployment-tiers.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-oncall-rota.md,False,True,partial,0.8276
u004,How much memory does a Calder Gateway node proxy consume per node?,False,True,partial,0.1695,0.1,0.3659,0.3119,5,docs/adr-0019-calder-gateway.md|docs/runbook-gateway-rollback.md|docs/reference-calderctl.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-oncall-rota.md,False,True,grounded,0.5741
u005,Which component handles north-south ingress traffic into the Calder platform?,False,True,partial,0.5798,0.1,0.5297,0.3782,5,docs/adr-0007-helix-mesh.md|docs/policy-data-retention.md|docs/guide-onboarding.md|docs/guide-oncall-rota.md|docs/reference-deployment-tiers.md,False,True,partial,0.5568
u006,How do I roll back my own service to a previous application version with calderctl?,False,True,partial,0.0096,0.1,0.7339,0.4481,5,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-onboarding.md|docs/reference-calderctl.md|docs/adr-0007-helix-mesh.md,False,True,partial,0.0061
u007,What are the default CPU and memory quotas assigned to a new tier 3 service?,False,True,partial,0.5494,0.1,0.6874,0.5716,5,docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/reference-deployment-tiers.md|docs/postmortem-checkout-outage.md,False,True,partial,0.5556
u008,How long does a service name review in calder/service-registry usually take to complete?,False,True,partial,0.0128,0.1,0.4913,0.2703,5,docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/reference-calderctl.md|docs/policy-data-retention.md|docs/adr-0007-helix-mesh.md,False,True,grounded,0.2047
u009,How do I create a new team group and get it provisioned on the Calder platform?,False,True,partial,0.0699,0.1,0.4301,0.4301,5,docs/adr-0007-helix-mesh.md|docs/guide-onboarding.md|docs/guide-oncall-rota.md|docs/adr-0019-calder-gateway.md|docs/reference-deployment-tiers.md,False,True,partial,0.0286
u010,How much is the on-call stipend paid per week of rotation?,False,True,partial,0.3943,0.1,0.2895,0.2602,5,docs/guide-oncall-rota.md|docs/adr-0007-helix-mesh.md|docs/guide-onboarding.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md,False,True,partial,0.3483
u011,Who is the current data protection lead who grants retention exceptions?,False,True,grounded,0.6229,0.1,1.0,0.8666,5,docs/policy-data-retention.md|docs/reference-deployment-tiers.md|docs/guide-oncall-rota.md|docs/reference-calderctl.md|docs/guide-onboarding.md,False,True,grounded,0.7492
u012,"How do I request a platform exception to mandatory sidecar injection, and who approves it?",False,True,grounded,0.3744,0.1,1.0,0.7974,5,docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/policy-data-retention.md|docs/guide-onboarding.md|docs/postmortem-checkout-outage.md,False,True,grounded,0.4481
u013,"Are calderctl write commands audit-logged, and where can I read that audit trail?",False,True,partial,0.2121,0.1,0.7125,0.4771,5,docs/policy-data-retention.md|docs/reference-calderctl.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-onboarding.md,False,True,partial,0.1046
u014,"How many days after an incident must a postmortem be published, and what template does it use?",False,True,partial,0.0121,0.1,0.517,0.2666,5,docs/policy-data-retention.md|docs/postmortem-checkout-outage.md|docs/reference-deployment-tiers.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-onboarding.md,False,True,partial,0.325
u015,Which team owns the payments service?,False,True,grounded,0.3382,0.1,1.0,1.0,5,docs/reference-deployment-tiers.md|docs/guide-oncall-rota.md|docs/adr-0007-helix-mesh.md|docs/policy-data-retention.md|docs/postmortem-checkout-outage.md,False,True,weak,0.0389
u016,Does Calder Gateway support HTTP/3 and bidirectional gRPC streaming?,False,True,partial,0.4183,0.1,0.1561,0.1273,5,docs/reference-calderctl.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/runbook-gateway-rollback.md|docs/postmortem-checkout-outage.md,False,True,partial,0.6326
u017,What is the connection draining timeout when a node proxy restarts during a rollback?,False,True,weak,0.0344,0.1,1.0,0.5255,5,docs/adr-0019-calder-gateway.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-onboarding.md|docs/guide-oncall-rota.md,False,True,grounded,0.1693
u018,What is the procedure and expected recovery time for restoring a service database from backup?,False,True,partial,0.1521,0.1,0.4348,0.2993,5,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/policy-data-retention.md|docs/guide-onboarding.md|docs/adr-0019-calder-gateway.md,False,True,partial,0.257
u019,How is a customer deletion request submitted and how is it verified before the 30-day clock starts?,False,True,partial,0.4303,0.1,0.5883,0.361,5,docs/policy-data-retention.md|docs/reference-deployment-tiers.md|docs/adr-0007-helix-mesh.md|docs/guide-onboarding.md|docs/runbook-gateway-rollback.md,False,True,partial,0.6211
u020,"Which Kubernetes version do the Calder clusters run, and how often are they upgraded?",False,True,partial,0.2395,0.1,0.3384,0.3384,5,docs/guide-onboarding.md|docs/reference-calderctl.md|docs/guide-oncall-rota.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md,False,True,partial,0.2732
