id,q,arm,n_relevant,top5,recall@1,recall@3,recall@5,recall@10,hit@1
q001,steps to revert a bad calder gateway release,none,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md,1.0,1.0,1.0,1.0,1
q001,steps to revert a bad calder gateway release,placebo,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md|docs/reference-deployment-tiers.md,1.0,1.0,1.0,1.0,1
q001,steps to revert a bad calder gateway release,real,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md,1.0,1.0,1.0,1.0,1
q001,steps to revert a bad calder gateway release,filtered,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md,1.0,1.0,1.0,1.0,1
q002,how to roll back a helix mesh sidecar release,none,1,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md,1.0,1.0,1.0,1.0,1
q002,how to roll back a helix mesh sidecar release,placebo,1,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md,1.0,1.0,1.0,1.0,1
q002,how to roll back a helix mesh sidecar release,real,1,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md|docs/adr-0007-helix-mesh.md,1.0,1.0,1.0,1.0,1
q002,how to roll back a helix mesh sidecar release,filtered,1,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md|docs/reference-calderctl.md,1.0,1.0,1.0,1.0,1
q003,what replaced helix mesh,none,2,docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/guide-oncall-rota.md,0.5,1.0,1.0,1.0,1
q003,what replaced helix mesh,placebo,2,docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md,0.5,1.0,1.0,1.0,1
q003,what replaced helix mesh,real,2,docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md,0.5,1.0,1.0,1.0,1
q003,what replaced helix mesh,filtered,2,docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md,0.5,1.0,1.0,1.0,1
q004,why did we adopt a service mesh in the first place,none,1,docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/guide-onboarding.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0019-calder-gateway.md,1.0,1.0,1.0,1.0,1
q004,why did we adopt a service mesh in the first place,placebo,1,docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/guide-onboarding.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0019-calder-gateway.md,1.0,1.0,1.0,1.0,1
