id,q,doc,max_rank,known_failure,lex_rank,dense_rank,fused_rank,lex_pass,dense_pass,fused_pass,lex_top5,fused_top5
q001,steps to revert a bad calder gateway release,docs/runbook-gateway-rollback.md,1,0,1,2,1,1,0,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0019-calder-gateway.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md
q002,how to roll back a helix mesh sidecar release,docs/runbook-mesh-rollback-legacy.md,1,0,1,1,1,1,1,1,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md|docs/reference-calderctl.md
q003,what replaced helix mesh,docs/adr-0019-calder-gateway.md,1,0,1,1,1,1,1,1,docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/guide-oncall-rota.md,docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/runbook-gateway-rollback.md
q004,why did we adopt a service mesh in the first place,docs/adr-0007-helix-mesh.md,1,0,1,1,1,1,1,1,docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/guide-onboarding.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0019-calder-gateway.md,docs/adr-0007-helix-mesh.md|docs/guide-onboarding.md|docs/postmortem-checkout-outage.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-deployment-tiers.md
q005,how long do we keep customer order history,docs/policy-data-retention.md,1,0,2,2,1,0,0,1,docs/reference-deployment-tiers.md|docs/policy-data-retention.md|docs/guide-oncall-rota.md|docs/guide-onboarding.md|docs/runbook-gateway-rollback.md,docs/policy-data-retention.md|docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/guide-oncall-rota.md|docs/runbook-gateway-rollback.md
q006,what happened during the checkout outage,docs/postmortem-checkout-outage.md,1,1,7,1,3,0,1,0,docs/guide-onboarding.md|docs/adr-0019-calder-gateway.md|docs/guide-oncall-rota.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-deployment-tiers.md,docs/guide-oncall-rota.md|docs/guide-onboarding.md|docs/postmortem-checkout-outage.md|docs/reference-deployment-tiers.md|docs/runbook-mesh-rollback-legacy.md
q007,how many reviewers does a tier 1 deploy need,docs/reference-deployment-tiers.md,1,1,2,1,2,0,1,0,docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/reference-calderctl.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md,docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/reference-calderctl.md|docs/runbook-gateway-rollback.md|docs/adr-0007-helix-mesh.md
q008,who do I page when traffic between services is failing,docs/guide-oncall-rota.md,1,0,1,1,1,1,1,1,docs/guide-oncall-rota.md|docs/adr-0007-helix-mesh.md|docs/guide-onboarding.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md,docs/guide-oncall-rota.md|docs/guide-onboarding.md|docs/runbook-gateway-rollback.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md
q009,I am shipping my first service where do I start,docs/guide-onboarding.md,1,0,1,1,1,1,1,1,docs/guide-onboarding.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0007-helix-mesh.md|docs/guide-oncall-rota.md,docs/guide-onboarding.md|docs/runbook-gateway-rollback.md|docs/reference-deployment-tiers.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md
q010,what does calderctl exit code 3 mean,docs/reference-calderctl.md,1,0,1,1,1,1,1,1,docs/reference-calderctl.md|docs/guide-onboarding.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-oncall-rota.md,docs/reference-calderctl.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/adr-0007-helix-mesh.md|docs/runbook-gateway-rollback.md
q011,what is the soak period for the revenue path tier,docs/reference-deployment-tiers.md,1,0,1,1,1,1,1,1,docs/reference-deployment-tiers.md|docs/adr-0019-calder-gateway.md|docs/guide-oncall-rota.md|docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md,docs/reference-deployment-tiers.md|docs/guide-oncall-rota.md|docs/postmortem-checkout-outage.md|docs/runbook-gateway-rollback.md|docs/guide-onboarding.md
q012,how do I freeze an in flight rollout,docs/reference-calderctl.md,2,1,4,4,4,0,0,0,docs/guide-oncall-rota.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/adr-0007-helix-mesh.md,docs/guide-oncall-rota.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/reference-calderctl.md|docs/adr-0007-helix-mesh.md
q013,am I allowed to be on call two weeks in a row,docs/guide-oncall-rota.md,1,0,3,1,1,0,1,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-oncall-rota.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md,docs/guide-oncall-rota.md|docs/runbook-gateway-rollback.md|docs/guide-onboarding.md|docs/postmortem-checkout-outage.md|docs/runbook-mesh-rollback-legacy.md
