query,n_docs,n_scores_differing,top5_same_exact,top5_same_round9
"0001_ingest",82,0,1,1
"0009_index",88,0,1,1
"0014",11,0,1,1
"0017",17,0,1,1
"0017_enriched",51,0,1,1
"0024",6,0,1,1
"0024_docs",93,72,1,1
"0027_runtime",63,0,1,1
"0031_refer",84,0,1,1
"0035_agent",89,0,1,1
"0042_locks",25,0,1,1
"0045_confidence",44,0,1,1
"0052_url",63,0,1,1
"0161",1,0,1,1
"025420",1,0,1,1
"02763",2,0,1,1
"03",6,0,1,1
"043026",1,0,1,1
"04949",1,0,1,1
"060583",1,0,1,1
"065",1,0,1,1
"06976",1,0,1,1
"077530",1,0,1,1
"088",2,0,1,1
"0e",1,0,1,1
"1171",2,0,1,1
"1198",3,0,1,1
"120",8,0,1,1
"124",2,0,1,1
"12t00",1,0,1,1
"132",1,0,1,1
"158",3,0,1,1
"16",27,0,1,1
"16hex",1,0,1,1
"1811",3,0,1,1
"2011",8,0,1,1
"224",1,0,1,1
"2305",2,0,1,1
"2312",1,0,1,1
"236",1,0,1,1
"2412",2,0,1,1
"244",2,0,1,1
"2502",1,0,1,1
"2603",1,0,1,1
"2707",2,0,1,1
"27t15",1,0,1,1
"291",2,0,1,1
"294",3,0,1,1
"2c",3,0,1,1
"2d4f19bcd8f8af905da1103648c3df21007d3255",3,0,1,1
"30s",2,0,1,1
"368",1,0,1,1
"39",5,0,1,1
"417",2,0,1,1
"41z",1,0,1,1
"4242",2,0,1,1
"429",10,0,1,1
"432",1,0,1,1
"446",3,0,1,1
"46",6,0,1,1
"47",6,0,1,1
"512",4,0,1,1
"533",3,0,1,1
"543",1,0,1,1
"5509030",1,0,1,1
"57",7,0,1,1
"5833",1,0,1,1
"5c",6,0,1,1
"602",1,0,1,1
"61abfc1c7540bf7b0626fbb9de360a42496b5908",3,0,1,1
"633",1,0,1,1
"691",2,0,1,1
"6a",4,0,1,1
"70d128b81140b42d",2,0,1,1
"720",1,0,1,1
"73",8,0,1,1
"737",1,0,1,1
"75ade572165cf06161bc58d0d8519f771da37636",1,0,1,1
"7674",2,0,1,1
"7734",2,0,1,1
"7743649",2,0,1,1
"781",1,0,1,1
"7c",5,0,1,1
"803",1,0,1,1
"825",1,0,1,1
"83c1888",2,0,1,1
"855",2,0,1,1
"862",2,0,1,1
"870",7,0,1,1
"8x",4,0,1,1
"9",71,0,1,1
"900s",2,0,1,1
"901",1,0,1,1
"920",1,0,1,1
"94",8,0,1,1
"946",2,0,1,1
"947",3,0,1,1
"964",1,0,1,1
"9c",4,0,1,1
"_boundary_re",85,0,1,1
"_dense_ids",59,0,1,1
"_generated_kind",67,0,1,1
"_parse_debug",48,0,1,1
"_positive_int",36,0,1,1
"_rank_of",70,0,1,1
"_stale_locks",58,0,1,1
"_tools",4,0,1,1
"a8adb22",2,0,1,1
"accru",5,0,1,1
"acquisit",3,0,1,1
"affect",16,0,1,1
"afterward",7,0,1,1
"agent",89,0,1,1
"amplifi",1,0,1,1
"and",0,0,1,1
"archived_weight",82,0,1,1
"arriv",47,0,1,1
"assessor",1,0,1,1
"assumpt",11,0,1,1
"atla",1,0,1,1
"audibl",1,0,1,1
"awar",12,0,1,1
"b",85,0,1,1
"backoff",4,0,1,1
"backslash",3,0,1,1
"badger",2,0,1,1
"band",28,0,1,1
"baselin",20,0,1,1
"began",3,0,1,1
"belief",1,0,1,1
"bigger",6,0,1,1
"bilkent",2,0,1,1
"billion",1,0,1,1
"bipartit",3,0,1,1
"bite",8,0,1,1
"bloat",3,0,1,1
"breakpoint",2,0,1,1
"brute",2,0,1,1
"bryk",1,0,1,1
"budiu",1,0,1,1
"build_index",91,0,1,1
"built",63,15,1,1
"c2",7,0,1,1
"cast",2,0,1,1
"cdf52ca",2,0,1,1
"cdpsession",3,0,1,1
"censu",3,0,1,1
"centr",1,0,1,1
"checkpoint",2,0,1,1
"choic",23,0,1,1
"class",34,0,1,1
"classifi",10,0,1,1
"cleanli",8,0,1,1
"clear",23,0,1,1
"cmd_graph",35,0,1,1
"codec",6,0,1,1
"coffe",1,0,1,1
"color",4,0,1,1
"commit_cache",89,0,1,1
"comp",1,0,1,1
"complex",5,0,1,1
"compli",3,0,1,1
"compos",1,0,1,1
"concaten",3,0,1,1
"condens",1,0,1,1
"connot",2,0,1,1
"contact",14,0,1,1
