id,q,doc,max_rank,known_failure,expand,base_rank,expand_rank,base_pass,expand_pass,base_top5,expand_top5
q001,steps to revert a bad calder gateway release,docs/runbook-gateway-rollback.md,1,0,runbook rollback procedure freeze unfreeze max-surge 1 per-node node proxy calderctl announce,1,1,1,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md|docs/adr-0019-calder-gateway.md
q002,how to roll back a helix mesh sidecar release,docs/runbook-mesh-rollback-legacy.md,1,0,runbook legacy rollback procedure max-surge 25% per-service freeze unfreeze pods waves calderctl,1,1,1,1,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md|docs/adr-0019-calder-gateway.md
q003,what replaced helix mesh,docs/adr-0019-calder-gateway.md,1,0,Calder Gateway ADR-0019 supersedes node proxy accepted per-node placement current decision,1,1,1,1,docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/guide-oncall-rota.md,docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/reference-calderctl.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md
q004,why did we adopt a service mesh in the first place,docs/adr-0007-helix-mesh.md,1,0,ADR-0007 sidecar eleven distinct retry implementations client libraries circuit breaker timeout mTLS east-west,1,1,1,1,docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/guide-onboarding.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0019-calder-gateway.md,docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/adr-0019-calder-gateway.md|docs/guide-onboarding.md|docs/runbook-mesh-rollback-legacy.md
q005,how long do we keep customer order history,docs/policy-data-retention.md,1,0,retention classification C2 personal 7 years account records addresses encryption per-tenant key,2,1,0,1,docs/reference-deployment-tiers.md|docs/policy-data-retention.md|docs/guide-oncall-rota.md|docs/guide-onboarding.md|docs/runbook-gateway-rollback.md,docs/policy-data-retention.md|docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/guide-oncall-rota.md|docs/adr-0007-helix-mesh.md
q006,what happened during the checkout outage,docs/postmortem-checkout-outage.md,1,1,postmortem 47 minutes SEV1 503 sessions 340 pods sidecar injection payments timeline rollback,7,1,0,1,docs/guide-onboarding.md|docs/adr-0019-calder-gateway.md|docs/guide-oncall-rota.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-deployment-tiers.md,docs/postmortem-checkout-outage.md|docs/guide-onboarding.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-oncall-rota.md|docs/adr-0019-calder-gateway.md
q007,how many reviewers does a tier 1 deploy need,docs/reference-deployment-tiers.md,1,1,deployment tiers review requirements two reviewers SRE service owner approve rollout,2,2,0,0,docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/reference-calderctl.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md,docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md
q008,who do I page when traffic between services is failing,docs/guide-oncall-rota.md,1,0,platform networking rotation rota handover incident lead service on-call escalate rollback runbooks,1,1,1,1,docs/guide-oncall-rota.md|docs/adr-0007-helix-mesh.md|docs/guide-onboarding.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md,docs/guide-oncall-rota.md|docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-onboarding.md|docs/runbook-gateway-rollback.md
q009,I am shipping my first service where do I start,docs/guide-onboarding.md,1,0,onboarding guide register service-registry tier 3 data classification calderctl deploy first-month mistakes,1,1,1,1,docs/guide-onboarding.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0007-helix-mesh.md|docs/guide-oncall-rota.md,docs/guide-onboarding.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0007-helix-mesh.md|docs/reference-deployment-tiers.md
q010,what does calderctl exit code 3 mean,docs/reference-calderctl.md,1,0,exit codes refused cluster is frozen precondition policy failed mid-incident forcing reference,1,1,1,1,docs/reference-calderctl.md|docs/guide-onboarding.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-oncall-rota.md,docs/reference-calderctl.md|docs/guide-onboarding.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/guide-oncall-rota.md
q011,what is the soak period for the revenue path tier,docs/reference-deployment-tiers.md,1,0,tier 1 soak 14 days checkout payments cart identity rollout order last deployment tiers,1,1,1,1,docs/reference-deployment-tiers.md|docs/adr-0019-calder-gateway.md|docs/guide-oncall-rota.md|docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md,docs/reference-deployment-tiers.md|docs/adr-0019-calder-gateway.md|docs/postmortem-checkout-outage.md|docs/guide-oncall-rota.md|docs/adr-0007-helix-mesh.md
q012,how do I freeze an in flight rollout,docs/reference-calderctl.md,2,1,calderctl gateway mesh freeze --tier writes halt progression unfreeze status --by-tier,4,4,0,0,docs/guide-oncall-rota.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/adr-0007-helix-mesh.md,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-oncall-rota.md|docs/reference-calderctl.md|docs/adr-0007-helix-mesh.md
q013,am I allowed to be on call two weeks in a row,docs/guide-oncall-rota.md,1,0,rota compensation limits one week in four rotation handed over cover consecutive nights paged,3,1,0,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-oncall-rota.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md,docs/guide-oncall-rota.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/adr-0007-helix-mesh.md|docs/guide-onboarding.md
q014,does an internal service page anyone overnight,docs/reference-deployment-tiers.md,2,0,tier 3 never pages files ticket next working day misconfiguration alert routing page policy,1,1,1,1,docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/policy-data-retention.md|docs/guide-oncall-rota.md|docs/postmortem-checkout-outage.md,docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/policy-data-retention.md|docs/guide-oncall-rota.md|docs/postmortem-checkout-outage.md
q015,what is the current decision for east west traffic,docs/adr-0019-calder-gateway.md,1,0,ADR-0019 Calder Gateway accepted supersedes ADR-0007 Helix Mesh node proxy migration,2,2,0,0,docs/adr-0007-helix-mesh.md|docs/adr-0019-calder-gateway.md|docs/postmortem-checkout-outage.md|docs/guide-oncall-rota.md|docs/runbook-gateway-rollback.md,docs/adr-0007-helix-mesh.md|docs/adr-0019-calder-gateway.md|docs/postmortem-checkout-outage.md|docs/guide-oncall-rota.md|docs/runbook-gateway-rollback.md
q016,which proxy do we run between services today,docs/adr-0019-calder-gateway.md,1,0,Calder Gateway node proxy current decision east-west supersedes Helix Mesh sidecar ADR-0019,6,2,0,0,docs/guide-oncall-rota.md|docs/adr-0007-helix-mesh.md|docs/runbook-gateway-rollback.md|docs/guide-onboarding.md|docs/runbook-mesh-rollback-legacy.md,docs/adr-0007-helix-mesh.md|docs/adr-0019-calder-gateway.md|docs/guide-oncall-rota.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md
q017,why did we move away from sidecars,docs/adr-0019-calder-gateway.md,1,0,ADR-0019 memory per pod 310 MB 2.9 ms latency 14 % compute spend replace Calder Gateway,3,1,0,1,docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/adr-0019-calder-gateway.md|docs/reference-deployment-tiers.md|docs/runbook-mesh-rollback-legacy.md,docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/reference-deployment-tiers.md|docs/runbook-mesh-rollback-legacy.md
q018,how much memory did the sidecar actually use,docs/adr-0019-calder-gateway.md,1,0,310 MB per pod 2026 measured 180 MB estimate tune sidecar 270 MB floor connection state,3,1,0,1,docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md|docs/adr-0019-calder-gateway.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md,docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md
q019,is helix mesh still in use anywhere,docs/adr-0019-calder-gateway.md,2,1,legacy tiers still running not migrated through 2026 most of tier 1 removed tier by tier superseded,6,4,0,0,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/adr-0007-helix-mesh.md|docs/policy-data-retention.md|docs/postmortem-checkout-outage.md,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/adr-0007-helix-mesh.md|docs/adr-0019-calder-gateway.md|docs/postmortem-checkout-outage.md
q020,which rollback do I use for a tier that has not migrated,docs/runbook-mesh-rollback-legacy.md,1,0,legacy Helix Mesh runbook check first sidecar per-pod max-surge 25% ADR-0007 superseded,2,1,0,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-onboarding.md|docs/adr-0007-helix-mesh.md|docs/adr-0019-calder-gateway.md,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/guide-onboarding.md
q021,why is the soak fourteen days now instead of two,docs/reference-deployment-tiers.md,2,0,tier 1 raised from 48 hours checkout outage weekly shape weekend traffic ADR-0019 deployment tiers,2,2,1,1,docs/adr-0019-calder-gateway.md|docs/reference-deployment-tiers.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-onboarding.md,docs/adr-0019-calder-gateway.md|docs/reference-deployment-tiers.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/guide-onboarding.md
