id,query,golden_asserts,a1_relevant,a2_relevant,a1_n,a2_n,both_multi,exact_set_match,a1_conf,a2_conf
q001,steps to revert a bad calder gateway release,docs/runbook-gateway-rollback.md,docs/runbook-gateway-rollback.md,docs/runbook-gateway-rollback.md,1,1,False,True,high,high
q002,how to roll back a helix mesh sidecar release,docs/runbook-mesh-rollback-legacy.md,docs/runbook-mesh-rollback-legacy.md,docs/runbook-mesh-rollback-legacy.md,1,1,False,True,high,high
q003,what replaced helix mesh,docs/adr-0019-calder-gateway.md,docs/adr-0007-helix-mesh.md | docs/adr-0019-calder-gateway.md,docs/adr-0007-helix-mesh.md | docs/adr-0019-calder-gateway.md,2,2,True,True,medium,high
q004,why did we adopt a service mesh in the first place,docs/adr-0007-helix-mesh.md,docs/adr-0007-helix-mesh.md,docs/adr-0007-helix-mesh.md,1,1,False,True,high,high
q005,how long do we keep customer order history,docs/policy-data-retention.md,docs/policy-data-retention.md,docs/policy-data-retention.md,1,1,False,True,high,high
q006,what happened during the checkout outage,docs/postmortem-checkout-outage.md,docs/postmortem-checkout-outage.md,docs/postmortem-checkout-outage.md,1,1,False,True,high,high
q007,how many reviewers does a tier 1 deploy need,docs/reference-deployment-tiers.md,docs/reference-calderctl.md | docs/reference-deployment-tiers.md,docs/reference-calderctl.md | docs/reference-deployment-tiers.md,2,2,True,True,medium,medium
q008,who do I page when traffic between services is failing,docs/guide-oncall-rota.md,docs/guide-oncall-rota.md,docs/guide-oncall-rota.md,1,1,False,True,high,high
q009,I am shipping my first service where do I start,docs/guide-onboarding.md,docs/guide-onboarding.md,docs/guide-onboarding.md,1,1,False,True,high,high
q010,what does calderctl exit code 3 mean,docs/reference-calderctl.md,docs/reference-calderctl.md,docs/reference-calderctl.md,1,1,False,True,high,high
q011,what is the soak period for the revenue path tier,docs/reference-deployment-tiers.md,docs/reference-deployment-tiers.md,docs/reference-deployment-tiers.md,1,1,False,True,high,high
q012,how do I freeze an in flight rollout,docs/reference-calderctl.md,docs/reference-calderctl.md | docs/runbook-gateway-rollback.md | docs/runbook-mesh-rollback-legacy.md,docs/reference-calderctl.md | docs/runbook-gateway-rollback.md | docs/runbook-mesh-rollback-legacy.md,3,3,True,True,medium,medium
q013,am I allowed to be on call two weeks in a row,docs/guide-oncall-rota.md,docs/guide-oncall-rota.md,docs/guide-oncall-rota.md,1,1,False,True,high,high
