id	rung	band	answerable	rank1	rank2	rank3	rank4	rank5
g001	rung-seed	partial	true	seed/archive/a04-driver-hours-policy-2019.md	seed/08-driver-hours-and-safety-policy.md	seed/04-night-shift-handover-log.txt	seed/archive/a05-induction-checklist-2020.txt	seed/13-dock-scheduling-rules-2026.md
g001	rung-00100	partial	true	seed/archive/a04-driver-hours-policy-2019.md	seed/08-driver-hours-and-safety-policy.md	ext/archive/00025-hours-retired.md	ext/sibling/00026-hours.md	seed/04-night-shift-handover-log.txt
g001	rung-00200	partial	true	seed/archive/a04-driver-hours-policy-2019.md	seed/08-driver-hours-and-safety-policy.md	ext/archive/00095-hours-retired.md	ext/archive/00025-hours-retired.md	ext/sibling/00026-hours.md
g001	rung-00500	partial	true	seed/archive/a04-driver-hours-policy-2019.md	seed/08-driver-hours-and-safety-policy.md	ext/archive/00235-hours-retired.md	ext/archive/00095-hours-retired.md	ext/archive/00305-hours-retired.md
g001	rung-01000	partial	true	seed/archive/a04-driver-hours-policy-2019.md	seed/08-driver-hours-and-safety-policy.md	ext/sibling/00936-hours.md	ext/sibling/00446-hours.md	ext/sibling/00586-hours.md
g002	rung-seed	partial	true	seed/03-postmortem-nagpur-vaccine-excursion.md	seed/01-sop-temperature-excursion.md	seed/archive/a02-kalpa-alert-routing-guide-2021.md	seed/04-night-shift-handover-log.txt	seed/08-driver-hours-and-safety-policy.md
g002	rung-00100	partial	true	ext/sibling/a03-petrichor-postmortem-insulin.md	ext/sibling/a04-okapi-night-handover.txt	ext/sibling/a01-marrowbeck-excursion-sop.md	seed/archive/a02-kalpa-alert-routing-guide-2021.md	ext/sibling/00010-postmortem.md
g002	rung-00200	partial	true	ext/sibling/a03-petrichor-postmortem-insulin.md	ext/sibling/a04-okapi-night-handover.txt	seed/archive/a02-kalpa-alert-routing-guide-2021.md	ext/sibling/a01-marrowbeck-excursion-sop.md	ext/sibling/00010-postmortem.md
g002	rung-00500	partial	true	ext/sibling/a03-petrichor-postmortem-insulin.md	seed/archive/a02-kalpa-alert-routing-guide-2021.md	ext/sibling/a01-marrowbeck-excursion-sop.md	ext/sibling/a04-okapi-night-handover.txt	ext/sibling/00229-postmortem.md
g002	rung-01000	partial	true	ext/sibling/a03-petrichor-postmortem-insulin.md	seed/archive/a02-kalpa-alert-routing-guide-2021.md	ext/sibling/a01-marrowbeck-excursion-sop.md	ext/sibling/a04-okapi-night-handover.txt	ext/sibling/00229-postmortem.md
