id,q,arm,n_relevant,source,n_docs_cited,cited,hit,recall,band,separation,support,budget_used,budget_bytes,dropped
q001,steps to revert a bad calder gateway release,A0,1,refer,1,docs/runbook-gateway-rollback.md,1,1.0,grounded,1.0,1,2873,8000,0
q001,steps to revert a bad calder gateway release,B0,1,refer,3,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md,1,1.0,weak,0.0545,3,7310,8000,0
q001,steps to revert a bad calder gateway release,A1,1,refer,1,docs/runbook-gateway-rollback.md,1,1.0,grounded,1.0,1,2873,8000,0
q001,steps to revert a bad calder gateway release,B1,1,refer,3,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md,1,1.0,weak,0.0543,3,7310,8000,0
q002,how to roll back a helix mesh sidecar release,A0,1,refer,1,docs/runbook-mesh-rollback-legacy.md,1,1.0,grounded,1.0,1,3250,8000,0
q002,how to roll back a helix mesh sidecar release,B0,1,refer,3,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/postmortem-checkout-outage.md,1,1.0,weak,0.0917,3,7666,8000,0
q002,how to roll back a helix mesh sidecar release,A1,1,refer,1,docs/runbook-mesh-rollback-legacy.md,1,1.0,grounded,1.0,1,3250,8000,0
q002,how to roll back a helix mesh sidecar release,B1,1,refer,3,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/postmortem-checkout-outage.md,1,1.0,grounded,0.1938,3,7666,8000,0
q003,what replaced helix mesh,A0,2,refer,1,docs/adr-0019-calder-gateway.md,1,0.5,grounded,1.0,1,3178,8000,0
q003,what replaced helix mesh,B0,2,refer,3,docs/adr-0019-calder-gateway.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0007-helix-mesh.md,1,1.0,grounded,0.7806,3,7499,8000,1
q003,what replaced helix mesh,A1,2,refer,1,docs/adr-0019-calder-gateway.md,1,0.5,grounded,1.0,1,3178,8000,0
q003,what replaced helix mesh,B1,2,refer,3,docs/adr-0019-calder-gateway.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0007-helix-mesh.md,1,1.0,grounded,0.8452,3,7499,8000,1
q004,why did we adopt a service mesh in the first place,A0,1,refer,1,docs/adr-0007-helix-mesh.md,1,1.0,partial,1.0,1,3873,8000,0
