query_id,query,cosine_arm64_vs_x86_64,int8_query_vector_identical,top5_arm64,top5_x86_64,orderings_match
g001,max hours a driver can be on duty in a day,1.000000000,1,docs/08-driver-hours-and-safety-policy.md|docs/07-rate-card-and-surcharges.md|docs/10-new-joiner-faq.md|docs/13-dock-scheduling-rules-2026.md|docs/12-rate-card-2026-h2.md,docs/08-driver-hours-and-safety-policy.md|docs/07-rate-card-and-surcharges.md|docs/10-new-joiner-faq.md|docs/13-dock-scheduling-rules-2026.md|docs/12-rate-card-2026-h2.md,1
g002,our medicine chiller ran warm overnight. after how much time does that become a formal quality event?,1.000000000,1,docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/13-dock-scheduling-rules-2026.md|docs/14-customer-notification-matrix-2025.md|docs/03-postmortem-nagpur-vaccine-excursion.md,docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/13-dock-scheduling-rules-2026.md|docs/14-customer-notification-matrix-2025.md|docs/03-postmortem-nagpur-vaccine-excursion.md,1
g003,"under revision 2.0 of the SOP, how long above the limit made a vaccine excursion?",1.000000000,1,docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/03-postmortem-nagpur-vaccine-excursion.md|docs/14-customer-notification-matrix-2025.md|docs/12-rate-card-2026-h2.md,docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/03-postmortem-nagpur-vaccine-excursion.md|docs/14-customer-notification-matrix-2025.md|docs/12-rate-card-2026-h2.md,1
g004,acknowledging a tessaline alarm — what does that NOT do?,1.000000000,1,docs/01-sop-temperature-excursion.md|docs/08-driver-hours-and-safety-policy.md|docs/10-new-joiner-faq.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md,docs/01-sop-temperature-excursion.md|docs/08-driver-hours-and-safety-policy.md|docs/10-new-joiner-faq.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md,1
g005,frozen chicken hit -16.2 for 14 minutes then recovered. excursion?,1.000000000,1,docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/13-dock-scheduling-rules-2026.md|docs/07-rate-card-and-surcharges.md|docs/12-rate-card-2026-h2.md,docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/13-dock-scheduling-rules-2026.md|docs/07-rate-card-and-surcharges.md|docs/12-rate-card-2026-h2.md,1
g006,what temperature do we have to keep chocolate at?,1.000000000,1,docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/13-dock-scheduling-rules-2026.md|docs/10-new-joiner-faq.md,docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/13-dock-scheduling-rules-2026.md|docs/10-new-joiner-faq.md,1
g007,how much extra goes on the bill when fuel gets dear?,1.000000000,1,docs/07-rate-card-and-surcharges.md|docs/12-rate-card-2026-h2.md|docs/13-dock-scheduling-rules-2026.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md,docs/07-rate-card-and-surcharges.md|docs/12-rate-card-2026-h2.md|docs/13-dock-scheduling-rules-2026.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md,1
g008,can i use a point-and-shoot temperature gun to decide whether goods can leave?,1.000000000,1,docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/10-new-joiner-faq.md|docs/08-driver-hours-and-safety-policy.md,docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/10-new-joiner-faq.md|docs/08-driver-hours-and-safety-policy.md,1
g009,bharatvac order number for the rotavirus consignment,1.000000000,1,docs/15-customer-notification-matrix-2026.md|docs/03-postmortem-nagpur-vaccine-excursion.md|docs/01-sop-temperature-excursion.md|docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md,docs/15-customer-notification-matrix-2026.md|docs/03-postmortem-nagpur-vaccine-excursion.md|docs/01-sop-temperature-excursion.md|docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md,1
g010,what is RF-118's fuel consumption?,1.000000000,1,docs/07-rate-card-and-surcharges.md|docs/11-decision-telematics-vendor-2026.md|docs/15-customer-notification-matrix-2026.md|docs/12-rate-card-2026-h2.md|docs/08-driver-hours-and-safety-policy.md,docs/07-rate-card-and-surcharges.md|docs/11-decision-telematics-vendor-2026.md|docs/15-customer-notification-matrix-2026.md|docs/12-rate-card-2026-h2.md|docs/08-driver-hours-and-safety-policy.md,1
