id,rung,hit@1,hit@5,recall@5,rank_first_relevant,abstained,abstain_correct
g001,rung-seed,0,1,1.0000,2,0,1
g002,rung-seed,0,1,0.5000,2,0,1
g003,rung-seed,1,1,1.0000,1,0,1
g004,rung-seed,0,0,0.0000,6,0,1
g005,rung-seed,1,1,0.3333,1,0,1
g006,rung-seed,0,0,0.0000,,0,0
g007,rung-seed,0,0,0.0000,,0,1
g008,rung-seed,0,1,0.5000,4,0,1
g009,rung-seed,1,1,1.0000,1,0,1
g010,rung-seed,0,0,0.0000,,0,0
g011,rung-seed,1,1,1.0000,1,0,1
g012,rung-seed,0,1,0.5000,3,0,1
g013,rung-seed,1,1,1.0000,1,0,1
g014,rung-seed,0,0,0.0000,,0,0
g015,rung-seed,1,1,1.0000,1,0,1
g016,rung-seed,0,1,0.3333,4,0,1
g017,rung-seed,0,0,0.0000,6,0,1
g018,rung-seed,0,1,1.0000,2,0,1
g019,rung-seed,1,1,1.0000,1,0,1
g020,rung-seed,1,1,1.0000,1,0,1
g021,rung-seed,1,1,1.0000,1,0,1
g022,rung-seed,0,0,0.0000,7,0,1
g023,rung-seed,0,0,0.0000,,0,0
g024,rung-seed,1,1,0.3333,1,0,1
g025,rung-seed,0,1,0.5000,4,0,1
g026,rung-seed,1,1,1.0000,1,0,1
g027,rung-seed,0,0,0.0000,,0,0
g028,rung-seed,0,0,0.0000,,0,0
g029,rung-seed,0,1,1.0000,3,0,1
g030,rung-seed,1,1,1.0000,1,0,1
g031,rung-seed,0,0,0.0000,6,0,1
g032,rung-seed,0,0,0.0000,9,0,1
g033,rung-seed,1,1,0.7500,1,0,1
g034,rung-seed,1,1,0.5000,1,0,1
g035,rung-seed,0,1,1.0000,2,0,1
g036,rung-seed,1,1,1.0000,1,0,1
g037,rung-seed,1,1,1.0000,1,0,1
g038,rung-seed,0,1,1.0000,2,0,1
g039,rung-seed,1,1,1.0000,1,0,1
g040,rung-seed,1,1,1.0000,1,0,1
g041,rung-seed,1,1,1.0000,1,0,1
g042,rung-seed,0,1,1.0000,2,0,1
g043,rung-seed,0,1,1.0000,4,0,1
g044,rung-seed,1,1,1.0000,1,0,1
g045,rung-seed,1,1,1.0000,1,0,1
g046,rung-seed,1,1,0.3333,1,0,1
g047,rung-seed,0,0,0.0000,9,0,1
g048,rung-seed,1,1,1.0000,1,0,1
g049,rung-seed,1,1,0.5000,1,0,1
g050,rung-seed,1,1,0.3333,1,0,1
g051,rung-seed,0,1,1.0000,2,0,1
g052,rung-seed,0,1,1.0000,2,0,1
g053,rung-seed,1,1,1.0000,1,0,1
g054,rung-seed,0,1,1.0000,2,0,1
g055,rung-seed,1,1,1.0000,1,0,1
g056,rung-seed,1,1,1.0000,1,0,1
g057,rung-seed,0,1,0.6667,2,0,1
g058,rung-seed,0,1,0.6667,2,0,1
g059,rung-seed,0,0,0.0000,,0,0
g060,rung-seed,0,0,0.0000,,0,0
g061,rung-seed,1,1,1.0000,1,0,1
g062,rung-seed,1,1,0.6667,1,0,1
g063,rung-seed,1,1,0.6667,1,0,1
g064,rung-seed,1,1,0.5000,1,0,1
g065,rung-seed,1,1,0.5000,1,0,1
g066,rung-seed,0,1,1.0000,2,0,1
g067,rung-seed,1,1,1.0000,1,0,1
g068,rung-seed,1,1,1.0000,1,0,1
g069,rung-seed,0,1,1.0000,2,0,1
g070,rung-seed,1,1,0.6667,1,0,1
g071,rung-seed,1,1,1.0000,1,0,1
g072,rung-seed,1,1,1.0000,1,0,1
g073,rung-seed,1,1,1.0000,1,0,1
g074,rung-seed,1,1,0.5000,1,0,1
g075,rung-seed,1,1,0.5000,1,0,1
g076,rung-seed,1,1,0.5000,1,0,1
g077,rung-seed,1,1,1.0000,1,0,1
g078,rung-seed,1,1,1.0000,1,0,1
g079,rung-seed,1,1,0.5000,1,0,1
g080,rung-seed,0,1,0.6667,2,0,1
g081,rung-seed,0,1,1.0000,2,0,1
g082,rung-seed,1,1,1.0000,1,0,1
g083,rung-seed,1,1,1.0000,1,0,1
g084,rung-seed,1,1,0.6667,1,0,1
g085,rung-seed,1,1,1.0000,1,0,1
g086,rung-seed,1,1,1.0000,1,0,1
g087,rung-seed,1,1,1.0000,1,0,1
g088,rung-seed,1,1,1.0000,1,0,1
g089,rung-seed,1,1,0.3333,1,0,1
g090,rung-seed,0,0,0.0000,,0,0
g091,rung-seed,1,1,1.0000,1,0,1
g092,rung-seed,1,1,0.6667,1,0,1
g093,rung-seed,1,1,0.6667,1,0,1
g094,rung-seed,0,1,1.0000,4,0,1
g095,rung-seed,1,1,1.0000,1,0,1
g096,rung-seed,1,1,1.0000,1,0,1
g097,rung-seed,1,1,1.0000,1,0,1
g098,rung-seed,0,1,1.0000,4,0,1
g099,rung-seed,1,1,1.0000,1,0,1
g100,rung-seed,0,1,0.6667,2,0,1
g101,rung-seed,0,1,0.3333,4,0,1
g102,rung-seed,1,1,1.0000,1,0,1
g103,rung-seed,0,1,0.5000,2,0,1
g104,rung-seed,0,0,0.0000,,0,0
g105,rung-seed,1,1,0.6000,1,0,1
g106,rung-seed,0,0,0.0000,8,0,1
g107,rung-seed,0,1,1.0000,2,0,1
g108,rung-seed,0,0,0.0000,,0,0
g109,rung-seed,1,1,1.0000,1,0,1
g110,rung-seed,0,1,1.0000,2,0,1
g111,rung-seed,1,1,1.0000,1,0,1
g112,rung-seed,1,1,0.5000,1,0,1
g113,rung-seed,0,0,0.0000,,0,0
g114,rung-seed,1,1,1.0000,1,0,1
g115,rung-seed,0,1,0.5000,5,0,1
g116,rung-seed,1,1,1.0000,1,0,1
g117,rung-seed,1,1,1.0000,1,0,1
g118,rung-seed,1,1,1.0000,1,0,1
g119,rung-seed,0,1,0.5000,2,0,1
g120,rung-seed,1,1,1.0000,1,0,1
g121,rung-seed,0,1,1.0000,2,0,1
g122,rung-seed,1,1,0.6667,1,0,1
g123,rung-seed,1,1,1.0000,1,0,1
g124,rung-seed,1,1,0.5000,1,0,1
g001,rung-00100,0,1,1.0000,2,0,1
g002,rung-00100,0,0,0.0000,,0,1
g003,rung-00100,0,1,1.0000,2,0,1
g004,rung-00100,0,0,0.0000,10,0,1
g005,rung-00100,1,1,0.3333,1,0,1
g006,rung-00100,0,0,0.0000,,0,0
g007,rung-00100,0,0,0.0000,,0,1
g008,rung-00100,0,0,0.0000,,0,1
g009,rung-00100,1,1,1.0000,1,0,1
g010,rung-00100,0,0,0.0000,,0,0
g011,rung-00100,1,1,1.0000,1,0,1
g012,rung-00100,0,1,0.5000,3,0,1
g013,rung-00100,1,1,1.0000,1,0,1
g014,rung-00100,0,0,0.0000,,0,0
g015,rung-00100,1,1,0.5000,1,0,1
g016,rung-00100,0,0,0.0000,,0,1
g017,rung-00100,0,0,0.0000,,0,1
g018,rung-00100,0,1,0.5000,2,0,1
g019,rung-00100,0,0,0.0000,6,0,1
g020,rung-00100,1,1,0.7500,1,0,1
g021,rung-00100,0,1,1.0000,3,0,1
g022,rung-00100,0,0,0.0000,,0,1
g023,rung-00100,0,0,0.0000,,0,0
g024,rung-00100,1,1,1.0000,1,0,1
g025,rung-00100,0,0,0.0000,,0,1
g026,rung-00100,1,1,1.0000,1,0,1
g027,rung-00100,0,0,0.0000,,0,0
g028,rung-00100,0,0,0.0000,,0,0
g029,rung-00100,0,0,0.0000,9,0,1
g030,rung-00100,1,1,1.0000,1,0,1
g031,rung-00100,0,0,0.0000,,0,1
g032,rung-00100,0,0,0.0000,,0,1
g033,rung-00100,0,1,0.2500,2,0,1
g034,rung-00100,1,1,0.5000,1,0,1
g035,rung-00100,0,1,0.6667,2,0,1
g036,rung-00100,0,1,1.0000,2,0,1
g037,rung-00100,1,1,1.0000,1,0,1
g038,rung-00100,0,1,0.5000,5,0,1
g039,rung-00100,1,1,1.0000,1,0,1
g040,rung-00100,0,1,0.5000,4,0,1
g041,rung-00100,0,1,0.5000,4,0,1
g042,rung-00100,0,0,0.0000,8,0,1
g043,rung-00100,1,1,0.5000,1,0,1
g044,rung-00100,0,1,0.6667,3,0,1
g045,rung-00100,1,1,1.0000,1,0,1
g046,rung-00100,0,1,0.3333,4,0,1
g047,rung-00100,0,0,0.0000,,0,1
g048,rung-00100,1,1,1.0000,1,0,1
g049,rung-00100,1,1,0.5000,1,0,1
g050,rung-00100,0,1,0.3333,3,0,1
g051,rung-00100,0,1,1.0000,3,0,1
g052,rung-00100,0,1,1.0000,2,0,1
g053,rung-00100,0,1,0.5000,2,0,1
g054,rung-00100,0,0,0.0000,,0,1
g055,rung-00100,1,1,0.3333,1,0,1
g056,rung-00100,0,0,0.0000,6,0,1
g057,rung-00100,0,1,0.6667,2,0,1
g058,rung-00100,0,1,0.3333,5,0,1
g059,rung-00100,0,0,0.0000,,0,0
g060,rung-00100,0,0,0.0000,,0,0
g061,rung-00100,1,1,0.6667,1,0,1
g062,rung-00100,1,1,0.3333,1,0,1
g063,rung-00100,1,1,0.6667,1,0,1
g064,rung-00100,1,1,0.5000,1,0,1
g065,rung-00100,1,1,0.5000,1,0,1
g066,rung-00100,0,0,0.0000,,0,1
g067,rung-00100,1,1,1.0000,1,0,1
g068,rung-00100,0,1,1.0000,2,0,1
g069,rung-00100,0,1,1.0000,2,0,1
g070,rung-00100,1,1,0.3333,1,0,1
g071,rung-00100,1,1,1.0000,1,0,1
g072,rung-00100,1,1,0.3333,1,0,1
g073,rung-00100,0,1,0.5000,3,0,1
g074,rung-00100,1,1,0.5000,1,0,1
g075,rung-00100,1,1,0.5000,1,0,1
g076,rung-00100,1,1,0.5000,1,0,1
g077,rung-00100,1,1,1.0000,1,0,1
g078,rung-00100,0,0,0.0000,8,0,1
g079,rung-00100,1,1,1.0000,1,0,1
g080,rung-00100,1,1,0.6667,1,0,1
g081,rung-00100,1,1,1.0000,1,0,1
g082,rung-00100,1,1,1.0000,1,0,1
g083,rung-00100,1,1,1.0000,1,0,1
g084,rung-00100,0,0,0.0000,6,0,1
g085,rung-00100,1,1,1.0000,1,0,1
g086,rung-00100,1,1,1.0000,1,0,1
g087,rung-00100,1,1,1.0000,1,0,1
g088,rung-00100,1,1,0.6667,1,0,1
g089,rung-00100,1,1,0.3333,1,0,1
g090,rung-00100,0,0,0.0000,,0,0
g091,rung-00100,1,1,1.0000,1,0,1
g092,rung-00100,1,1,0.6667,1,0,1
g093,rung-00100,0,1,0.6667,2,0,1
g094,rung-00100,1,1,0.5000,1,0,1
g095,rung-00100,1,1,1.0000,1,0,1
g096,rung-00100,1,1,0.5000,1,0,1
g097,rung-00100,1,1,1.0000,1,0,1
g098,rung-00100,0,0,0.0000,8,0,1
g099,rung-00100,0,1,1.0000,2,0,1
g100,rung-00100,0,0,0.0000,,0,1
g101,rung-00100,0,0,0.0000,8,0,1
g102,rung-00100,0,0,0.0000,6,0,1
g103,rung-00100,0,1,0.5000,2,0,1
g104,rung-00100,0,0,0.0000,,0,0
g105,rung-00100,1,1,0.8000,1,0,1
g106,rung-00100,0,0,0.0000,,0,1
g107,rung-00100,0,1,0.5000,3,0,1
g108,rung-00100,0,0,0.0000,,0,0
g109,rung-00100,1,1,1.0000,1,0,1
g110,rung-00100,0,1,1.0000,4,0,1
g111,rung-00100,0,0,0.0000,7,0,1
g112,rung-00100,0,1,0.5000,5,0,1
g113,rung-00100,0,0,0.0000,,0,0
g114,rung-00100,0,1,0.3333,2,0,1
g115,rung-00100,0,0,0.0000,7,0,1
g116,rung-00100,1,1,1.0000,1,0,1
g117,rung-00100,1,1,1.0000,1,0,1
g118,rung-00100,1,1,0.7500,1,0,1
g119,rung-00100,0,1,0.5000,2,0,1
g120,rung-00100,0,1,1.0000,2,0,1
g121,rung-00100,0,1,1.0000,2,0,1
g122,rung-00100,0,0,0.0000,7,0,1
g123,rung-00100,0,1,0.3333,3,0,1
g124,rung-00100,0,1,0.5000,3,0,1
g001,rung-00200,0,1,1.0000,2,0,1
g002,rung-00200,0,0,0.0000,,0,1
g003,rung-00200,0,1,0.6667,2,0,1
g004,rung-00200,0,0,0.0000,,0,1
g005,rung-00200,0,1,0.3333,2,0,1
g006,rung-00200,0,0,0.0000,,0,0
g007,rung-00200,0,0,0.0000,,0,1
g008,rung-00200,0,0,0.0000,,0,1
g009,rung-00200,1,1,1.0000,1,0,1
g010,rung-00200,0,0,0.0000,,0,0
g011,rung-00200,1,1,1.0000,1,0,1
g012,rung-00200,0,1,0.5000,3,0,1
g013,rung-00200,0,1,1.0000,2,0,1
g014,rung-00200,0,0,0.0000,,0,0
g015,rung-00200,1,1,0.5000,1,0,1
g016,rung-00200,0,0,0.0000,,0,1
g017,rung-00200,0,0,0.0000,,0,1
g018,rung-00200,0,1,0.5000,2,0,1
g019,rung-00200,0,0,0.0000,,0,1
g020,rung-00200,1,1,0.7500,1,0,1
g021,rung-00200,0,1,1.0000,4,0,1
g022,rung-00200,0,0,0.0000,,0,1
g023,rung-00200,0,0,0.0000,,0,0
g024,rung-00200,0,1,1.0000,2,0,1
g025,rung-00200,0,0,0.0000,,0,1
g026,rung-00200,1,1,1.0000,1,0,1
g027,rung-00200,0,0,0.0000,,0,0
g028,rung-00200,0,0,0.0000,,0,0
g029,rung-00200,0,0,0.0000,,0,1
g030,rung-00200,1,1,1.0000,1,0,1
g031,rung-00200,0,0,0.0000,,0,1
g032,rung-00200,0,0,0.0000,,0,1
g033,rung-00200,1,1,0.5000,1,0,1
g034,rung-00200,1,1,0.5000,1,0,1
g035,rung-00200,0,1,0.6667,2,0,1
g036,rung-00200,0,1,1.0000,3,0,1
g037,rung-00200,1,1,1.0000,1,0,1
g038,rung-00200,0,0,0.0000,9,0,1
g039,rung-00200,1,1,1.0000,1,0,1
g040,rung-00200,0,1,0.5000,3,0,1
g041,rung-00200,0,1,0.5000,5,0,1
g042,rung-00200,0,0,0.0000,,0,1
g043,rung-00200,1,1,1.0000,1,0,1
g044,rung-00200,0,1,0.6667,4,0,1
g045,rung-00200,1,1,1.0000,1,0,1
g046,rung-00200,0,0,0.0000,7,0,1
g047,rung-00200,0,0,0.0000,,0,1
g048,rung-00200,1,1,1.0000,1,0,1
g049,rung-00200,1,1,0.5000,1,0,1
g050,rung-00200,0,1,0.3333,3,0,1
g051,rung-00200,0,1,1.0000,3,0,1
g052,rung-00200,0,1,1.0000,2,0,1
g053,rung-00200,0,1,0.5000,2,0,1
g054,rung-00200,0,0,0.0000,,0,1
g055,rung-00200,1,1,0.3333,1,0,1
g056,rung-00200,0,0,0.0000,,0,1
g057,rung-00200,1,1,0.6667,1,0,1
g058,rung-00200,0,0,0.0000,10,0,1
g059,rung-00200,0,0,0.0000,,0,0
g060,rung-00200,0,0,0.0000,,0,0
g061,rung-00200,1,1,0.6667,1,0,1
g062,rung-00200,1,1,0.3333,1,0,1
g063,rung-00200,1,1,0.6667,1,0,1
g064,rung-00200,0,1,0.5000,2,0,1
g065,rung-00200,1,1,0.5000,1,0,1
g066,rung-00200,0,0,0.0000,,0,1
g067,rung-00200,1,1,0.5000,1,0,1
g068,rung-00200,0,1,1.0000,2,0,1
g069,rung-00200,0,1,1.0000,2,0,1
g070,rung-00200,1,1,0.3333,1,0,1
g071,rung-00200,1,1,0.6667,1,0,1
g072,rung-00200,1,1,0.3333,1,0,1
g073,rung-00200,0,1,0.5000,3,0,1
g074,rung-00200,1,1,0.5000,1,0,1
g075,rung-00200,1,1,1.0000,1,0,1
g076,rung-00200,1,1,0.5000,1,0,1
g077,rung-00200,1,1,1.0000,1,0,1
g078,rung-00200,0,0,0.0000,,0,1
g079,rung-00200,1,1,1.0000,1,0,1
g080,rung-00200,1,1,0.6667,1,0,1
g081,rung-00200,1,1,1.0000,1,0,1
g082,rung-00200,1,1,1.0000,1,0,1
g083,rung-00200,0,1,0.5000,2,0,1
g084,rung-00200,0,0,0.0000,,0,1
g085,rung-00200,1,1,1.0000,1,0,1
g086,rung-00200,0,1,1.0000,2,0,1
g087,rung-00200,1,1,1.0000,1,0,1
g088,rung-00200,1,1,0.6667,1,0,1
g089,rung-00200,1,1,0.3333,1,0,1
g090,rung-00200,0,0,0.0000,,0,0
g091,rung-00200,1,1,1.0000,1,0,1
g092,rung-00200,1,1,0.3333,1,0,1
g093,rung-00200,0,1,0.6667,2,0,1
g094,rung-00200,1,1,0.5000,1,0,1
g095,rung-00200,1,1,1.0000,1,0,1
g096,rung-00200,1,1,0.5000,1,0,1
g097,rung-00200,1,1,1.0000,1,0,1
g098,rung-00200,0,0,0.0000,9,0,1
g099,rung-00200,1,1,1.0000,1,0,1
g100,rung-00200,0,0,0.0000,,0,1
g101,rung-00200,0,0,0.0000,8,0,1
g102,rung-00200,0,0,0.0000,,0,1
g103,rung-00200,0,1,0.5000,5,0,1
g104,rung-00200,0,0,0.0000,,0,0
g105,rung-00200,1,1,0.8000,1,0,1
g106,rung-00200,0,0,0.0000,,0,1
g107,rung-00200,0,1,0.5000,4,0,1
g108,rung-00200,0,0,0.0000,,0,0
g109,rung-00200,1,1,1.0000,1,0,1
g110,rung-00200,0,1,1.0000,5,0,1
g111,rung-00200,0,0,0.0000,,0,1
g112,rung-00200,0,1,0.5000,5,0,1
g113,rung-00200,0,0,0.0000,,0,0
g114,rung-00200,0,1,0.3333,2,0,1
g115,rung-00200,0,0,0.0000,9,0,1
g116,rung-00200,1,1,1.0000,1,0,1
g117,rung-00200,1,1,1.0000,1,0,1
g118,rung-00200,1,1,0.7500,1,0,1
g119,rung-00200,0,1,0.5000,2,0,1
g120,rung-00200,0,1,0.5000,4,0,1
g121,rung-00200,0,1,1.0000,2,0,1
g122,rung-00200,0,0,0.0000,,0,1
g123,rung-00200,0,1,0.3333,5,0,1
g124,rung-00200,0,1,0.5000,4,0,1
g001,rung-00500,0,1,1.0000,2,0,1
g002,rung-00500,0,0,0.0000,,0,1
g003,rung-00500,0,1,0.6667,2,0,1
g004,rung-00500,0,0,0.0000,,0,1
g005,rung-00500,0,0,0.0000,6,0,1
g006,rung-00500,0,0,0.0000,,0,0
g007,rung-00500,0,0,0.0000,,0,1
g008,rung-00500,0,0,0.0000,,0,1
g009,rung-00500,1,1,1.0000,1,0,1
